VPNID,Language,Time,total_score_arg
Y_PNF_9,Sco,2,18
Y_PNF_9,Sco,3,18
Z_PLF_2,P,1,9
Z_PLF_2,P,2,11
Z_PLF_2,P,3,11
Z_PLF_2,Sco,1,8
Z_PLF_2,Sco,2,11
Z_PLF_2,Sco,3,17
Z_PLF_3,P,1,10
Z_PLF_3,P,2,7
Z_PLF_3,P,3,11
Z_PLF_3,Sco,1,13
Z_PLF_3,Sco,3,11
Z_PLF_4,P,1,13
Z_PLF_4,P,2,10
Z_PLF_4,P,3,15
Z_PLF_4,Sco,1,9
Z_PLF_4,Sco,3,18
Z_PLF_5,P,2,11
Z_PLF_5,P,3,15
Z_PLF_5,Sco,1,5
Z_PLF_5,Sco,2,9
Z_PLF_5,Sco,3,17
Z_PLF_6,P,2,13
Z_PLF_6,P,3,14
Z_PLF_6,Sco,1,7
Z_PLF_6,Sco,2,11
Z_PLF_6,Sco,3,17
Z_PLF_7,P,2,14
Z_PLF_7,P,3,18
Z_PLF_7,Sco,1,8
Z_PLF_7,Sco,2,14
Z_PLF_7,Sco,3,18
Z_PLF_8,P,2,13
Z_PLF_8,P,3,19
Z_PLF_8,Sco,1,9
Z_PLF_8,Sco,2,18
Z_PLF_8,Sco,3,19
